Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,SSD,HDD,Flash_Storage,Hybrid,Cpu_speed_GHz,Cpu_brand,Gpu_brand,Touchscreen,IPS,PPI
Apple,Ultrabook,13.3,8,macOS,1.37,1339.69,128.0,0.0,0.0,0.0,2.3,Intel i5,Intel,0,1,226.98
Apple,Ultrabook,13.3,8,macOS,1.34,898.94,0.0,0.0,128.0,0.0,1.8,Intel i5,Intel,0,0,127.68
HP,Notebook,15.6,8,No OS,1.86,575.0,256.0,0.0,0.0,0.0,2.5,Intel i5,Intel,0,0,141.21
Apple,Ultrabook,15.4,16,macOS,1.83,2537.45,512.0,0.0,0.0,0.0,2.7,Intel i7,AMD,0,1,220.53
Apple,Ultrabook,13.3,8,macOS,1.37,1803.6,256.0,0.0,0.0,0.0,3.1,Intel i5,Intel,0,1,226.98
Acer,Notebook,15.6,4,Windows 10,2.1,400.0,0.0,500.0,0.0,0.0,3.0,AMD,AMD,0,0,100.45
Apple,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,0.0,0.0,256.0,0.0,2.2,Intel i7,Intel,0,1,220.53
Apple,Ultrabook,13.3,8,macOS,1.34,1158.7,0.0,0.0,256.0,0.0,1.8,Intel i5,Intel,0,0,127.68
Asus,Ultrabook,14.0,16,Windows 10,1.3,1495.0,512.0,0.0,0.0,0.0,1.8,Intel i7,Nvidia,0,0,157.35
Acer,Ultrabook,14.0,8,Windows 10,1.6,770.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,0,1,157.35
HP,Notebook,15.6,4,No OS,1.86,393.9,0.0,500.0,0.0,0.0,2.5,Intel i5,Intel,0,0,100.45
HP,Notebook,15.6,4,No OS,1.86,344.99,0.0,500.0,0.0,0.0,2.0,Intel i3,Intel,0,0,141.21
Apple,Ultrabook,15.4,16,macOS,1.83,2439.97,256.0,0.0,0.0,0.0,2.8,Intel i7,AMD,0,1,220.53
Dell,Notebook,15.6,4,Windows 10,2.2,498.9,256.0,0.0,0.0,0.0,2.0,Intel i3,AMD,0,0,141.21
Apple,Ultrabook,12.0,8,macOS,0.92,1262.4,256.0,0.0,0.0,0.0,1.2,Intel Other,Intel,0,1,226.42
Apple,Ultrabook,13.3,8,macOS,1.37,1518.55,256.0,0.0,0.0,0.0,2.3,Intel i5,Intel,0,1,226.98
Dell,Notebook,15.6,8,Windows 10,2.2,745.0,256.0,0.0,0.0,0.0,2.7,Intel i7,AMD,0,0,141.21
Apple,Ultrabook,15.4,16,macOS,1.83,2858.0,512.0,0.0,0.0,0.0,2.9,Intel i7,AMD,0,1,220.53
Lenovo,Notebook,15.6,8,No OS,2.2,499.0,0.0,1000.0,0.0,0.0,2.4,Intel i3,Nvidia,0,0,141.21
Dell,Ultrabook,13.3,8,Windows 10,1.22,979.0,128.0,0.0,0.0,0.0,1.6,Intel i5,Intel,1,1,165.63
Asus,Netbook,11.6,2,Windows 10,0.98,191.9,0.0,0.0,32.0,0.0,1.44,Intel Other,Intel,0,0,135.09
Lenovo,Gaming,15.6,8,Windows 10,2.5,999.0,128.0,1000.0,0.0,0.0,2.5,Intel i5,Nvidia,0,1,141.21
HP,Notebook,15.6,4,No OS,1.86,258.0,0.0,500.0,0.0,0.0,1.5,AMD,AMD,0,0,100.45
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,819.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,1,0,165.63
HP,Ultrabook,15.6,8,Windows 10,1.91,659.0,256.0,0.0,0.0,0.0,1.8,Intel i7,Intel,0,0,141.21
Dell,Notebook,15.6,4,Windows 10,2.3,418.64,0.0,1000.0,0.0,0.0,2.0,Intel i3,Intel,0,0,100.45
Apple,Ultrabook,13.3,8,Mac OS X,1.35,1099.0,0.0,0.0,128.0,0.0,1.6,Intel i5,Intel,0,0,127.68
Dell,Notebook,15.6,8,Windows 10,2.2,800.0,256.0,0.0,0.0,0.0,1.6,Intel i5,AMD,0,0,141.21
Dell,Ultrabook,15.6,8,Windows 10,1.88,1298.0,512.0,0.0,0.0,0.0,1.9,Intel i7,Intel,0,0,141.21
HP,Notebook,17.3,8,Windows 10,2.5,896.0,0.0,1000.0,0.0,0.0,1.6,Intel i5,Nvidia,0,0,127.34
Chuwi,Notebook,15.6,4,Windows 10,1.89,244.99,0.0,0.0,64.0,0.0,1.44,Intel Other,Intel,0,0,141.21
Asus,Notebook,14.0,2,Windows 10,1.65,199.0,0.0,0.0,32.0,0.0,1.5,AMD,AMD,0,0,111.94
HP,Notebook,17.3,4,Windows 10,2.71,439.0,0.0,500.0,0.0,0.0,2.5,AMD,AMD,0,0,127.34
Dell,Ultrabook,13.3,16,Windows 10,1.2,1869.0,512.0,0.0,0.0,0.0,1.8,Intel i7,Intel,1,0,276.05
Apple,Ultrabook,13.3,8,Mac OS X,1.35,998.0,0.0,0.0,256.0,0.0,1.6,Intel i5,Intel,0,0,127.68
Lenovo,Notebook,14.0,4,Windows 10,1.44,249.0,0.0,0.0,64.0,0.0,1.1,Intel Other,Intel,0,0,111.94
Acer,Notebook,15.6,4,Linux,2.1,367.0,0.0,1000.0,0.0,0.0,2.7,Intel i3,Intel,0,0,100.45
Dell,Notebook,17.3,8,Windows 10,2.8,979.0,128.0,1000.0,0.0,0.0,1.6,Intel i5,AMD,0,1,127.34
HP,Notebook,15.6,4,Windows 10,1.86,488.69,0.0,1000.0,0.0,0.0,2.5,Intel i5,Intel,0,0,100.45
HP,Notebook,15.6,8,Windows 10,2.1,879.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Nvidia,0,0,141.21
Asus,Notebook,15.6,4,Linux,2.0,389.0,0.0,1000.0,0.0,0.0,2.0,Intel i3,Intel,0,0,141.21
Dell,Gaming,15.6,16,Windows 10,2.65,1499.0,256.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,1,141.21
Asus,Notebook,15.6,8,Linux,2.3,522.99,0.0,1000.0,0.0,0.0,2.5,Intel i5,Nvidia,0,0,100.45
Acer,Notebook,15.6,4,Windows 10,2.2,682.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,0,1,141.21
Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,999.0,0.0,1000.0,0.0,0.0,1.6,Intel i5,Nvidia,1,0,127.34
Apple,Ultrabook,13.3,8,macOS,1.37,1419.0,256.0,0.0,0.0,0.0,2.0,Intel i5,Intel,0,1,226.98
Lenovo,Notebook,15.6,4,No OS,2.2,369.0,128.0,0.0,0.0,0.0,2.0,Intel i3,Intel,0,0,100.45
Asus,Gaming,17.3,8,Windows 10,3.2,1299.0,256.0,1000.0,0.0,0.0,3.0,AMD,AMD,0,0,127.34
Dell,Notebook,15.6,4,Windows 10,2.3,639.0,256.0,0.0,0.0,0.0,2.5,Intel i5,AMD,0,0,141.21
Asus,Notebook,17.3,4,Windows 10,2.8,466.0,0.0,1000.0,0.0,0.0,1.1,Intel Other,Nvidia,0,0,90.58
Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,319.0,0.0,0.0,64.0,0.0,1.44,Intel Other,Intel,1,1,224.17
Acer,Notebook,15.6,8,Windows 10,2.2,841.0,256.0,0.0,0.0,0.0,1.8,Intel i7,Nvidia,0,1,141.21
HP,Notebook,15.6,4,Windows 10,1.86,398.49,256.0,0.0,0.0,0.0,2.5,AMD,AMD,0,0,141.21
HP,Notebook,13.3,8,Windows 10,1.49,1103.0,512.0,0.0,0.0,0.0,1.8,Intel i7,Intel,0,0,165.63
Acer,Notebook,15.6,4,Windows 10,2.4,384.0,0.0,1000.0,0.0,0.0,2.4,Intel i3,Intel,0,0,100.45
Dell,Notebook,15.6,8,Windows 10,2.13,767.8,256.0,0.0,0.0,0.0,1.8,Intel i7,AMD,0,0,141.21
HP,Notebook,15.6,4,Windows 10,1.91,439.0,128.0,0.0,0.0,0.0,2.0,Intel i3,Intel,0,0,141.21
Asus,Notebook,15.6,4,Windows 10,2.0,586.19,256.0,0.0,0.0,0.0,2.5,Intel i5,Intel,0,0,100.45
MSI,Gaming,17.3,16,Windows 10,2.43,2449.0,256.0,2000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,0,127.34
Asus,Notebook,15.6,4,Linux,2.0,415.0,256.0,0.0,0.0,0.0,2.0,Intel i3,Intel,0,0,141.21
Dell,Notebook,17.3,16,Windows 10,2.8,1299.0,256.0,2000.0,0.0,0.0,1.8,Intel i7,AMD,0,0,127.34
Dell,Ultrabook,14.0,8,Windows 10,1.7,879.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,0,0,157.35
Lenovo,Notebook,14.0,8,No OS,1.7,599.0,256.0,0.0,0.0,0.0,2.7,Intel i3,Intel,0,1,157.35
Asus,Notebook,14.0,8,Windows 10,1.4,941.0,256.0,0.0,0.0,0.0,1.6,Intel i5,Intel,0,0,157.35
HP,Notebook,15.6,8,Windows 10,1.86,690.0,256.0,0.0,0.0,0.0,2.5,Intel i5,Intel,0,0,141.21
Asus,Ultrabook,15.6,16,Windows 10,1.8,1983.0,512.0,0.0,0.0,0.0,2.8,Intel i7,Nvidia,0,0,141.21
HP,Notebook,15.6,4,Windows 10,1.86,438.69,0.0,500.0,0.0,0.0,2.0,Intel i3,AMD,0,0,100.45
HP,Notebook,14.0,4,Windows 10,1.44,229.0,32.0,0.0,0.0,0.0,1.6,Intel Other,Intel,0,0,111.94
Lenovo,Notebook,15.6,4,Windows 10,1.9,549.0,0.0,1000.0,0.0,0.0,2.5,Intel i5,Intel,0,0,141.21
Asus,Gaming,17.3,12,Linux,3.0,949.0,0.0,1000.0,0.0,0.0,2.8,Intel i7,Nvidia,0,0,127.34
Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,1089.0,128.0,0.0,0.0,0.0,2.5,Intel i5,Intel,1,0,200.84
Dell,Ultrabook,13.3,8,Windows 10,1.4,955.0,256.0,0.0,0.0,0.0,1.8,Intel i7,AMD,0,1,165.63
Dell,Notebook,15.6,8,Windows 10,2.2,870.0,256.0,0.0,0.0,0.0,1.8,Intel i7,AMD,0,0,141.21
MSI,Gaming,17.3,8,Windows 10,2.7,1095.0,128.0,1000.0,0.0,0.0,2.5,Intel i5,Nvidia,0,0,127.34
Acer,Notebook,14.0,8,Windows 10,2.1,389.0,0.0,1000.0,0.0,0.0,2.0,Intel i3,Intel,0,0,111.94
